date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:14	2785/2785	---M--	404	error ('Not%20Found')	text/html	etag:1518113557-ssl	https://tomato-timer.com/robots.txt		(from )
10:50:14	11904/11904	---M-Z	200	added ('OK')	text/html	etag:%225a5bd0e22fa647f6916fbc1b08b8fd99-ssl-df%22	https://tomato-timer.com/	D:/Audioo/Pomodoro/tomato-timer.com/index.html	(from )
10:50:15	36227/36227	---M--	200	added ('OK')	image/png	etag:%22992cac1c389ee420334236b82220df1e-ssl%22	https://tomato-timer.com/apple-touch-icon.png	D:/Audioo/Pomodoro/tomato-timer.com/apple-touch-icon.png	(from https://tomato-timer.com/)
10:50:15	2797/2797	---M--	200	added ('OK')	image/png	etag:%226b53f1d361084e4e26eac4e57fe6d544-ssl%22	https://tomato-timer.com/favicon-32x32.png	D:/Audioo/Pomodoro/tomato-timer.com/favicon-32x32.png	(from https://tomato-timer.com/)
10:50:15	1429/1429	---M--	200	added ('OK')	image/png	etag:%223afff9bcb7150c00924fa1046ded9e59-ssl%22	https://tomato-timer.com/favicon-16x16.png	D:/Audioo/Pomodoro/tomato-timer.com/favicon-16x16.png	(from https://tomato-timer.com/)
10:50:15	500/500	---M-Z	200	added ('OK')	application/json	etag:%223c5e71bac6e9bb850519653f27cbf521-ssl-df%22	https://tomato-timer.com/manifest.json	D:/Audioo/Pomodoro/tomato-timer.com/manifest.json	(from https://tomato-timer.com/)
10:50:15	17689/17689	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f83e9db43141dc0fe9489a92fb3ac149-ssl-df%22	https://tomato-timer.com/safari-pinned-tab.svg	D:/Audioo/Pomodoro/tomato-timer.com/safari-pinned-tab.svg	(from https://tomato-timer.com/)
10:50:15	104881/104881	---M-Z	200	added ('OK')	text/css	etag:%221554fa15a5094baec3e04420382634c4-ssl-df%22	https://tomato-timer.com/foundation/stylesheets/foundation.css	D:/Audioo/Pomodoro/tomato-timer.com/foundation/stylesheets/foundation.css	(from https://tomato-timer.com/)
10:50:16	1026/1026	---M-Z	200	added ('OK')	text/css	etag:%220a4a342cbc86f0c10616fa349efcc44d-ssl-df%22	https://tomato-timer.com/app.css	D:/Audioo/Pomodoro/tomato-timer.com/app.css	(from https://tomato-timer.com/)
10:50:16	160396/160396	---M-Z	200	added ('OK')	application/javascript	etag:%221582d3b95815317d02b5716944978107-ssl-df%22	https://tomato-timer.com/foundation/javascripts/foundation.min.js	D:/Audioo/Pomodoro/tomato-timer.com/foundation/javascripts/foundation.min.js	(from https://tomato-timer.com/)
10:50:16	23544/23544	---M-Z	200	added ('OK')	application/javascript	etag:%22b4e630e9ff6bdaaaca11607db5bd37a5-ssl-df%22	https://tomato-timer.com/howler2.min.js	D:/Audioo/Pomodoro/tomato-timer.com/howler2.min.js	(from https://tomato-timer.com/)
10:50:16	313541/313541	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd49fa-4c8c5%22	https://cdnjs.cloudflare.com/ajax/libs/moment.js/2.20.1/moment-with-locales.min.js	D:/Audioo/Pomodoro/cdnjs.cloudflare.com/ajax/libs/moment.js/2.20.1/moment-with-locales.min.js	(from https://tomato-timer.com/)
